title,chart_week,performer,peak_pos,wks_on_chart,album_name,release_date,popularity,explicit,listeners,play_count,duration_s,genre
300 Urus,2023-06-10,Lil Durk,73,1,Almost Healed,2023-05-26,52,True,22861,156085,204.642,chicago drill
Sad Songs,2023-06-10,Lil Durk,74,1,Almost Healed,2023-05-26,51,True,23077,129868,156.262,chicago drill
Before Fajr,2023-06-10,Lil Durk,82,1,Almost Healed,2023-05-26,48,True,26397,187165,120.128,chicago drill
B12,2023-06-10,Lil Durk,83,1,Almost Healed,2023-05-26,53,True,32164,337924,163.085,chicago drill
You Got Em,2023-06-10,Lil Durk,86,1,Almost Healed,2023-05-26,48,True,24558,158026,142.546,chicago drill
Mathematical Disrespect,2023-06-10,Lil Mabu,47,4,MATHEMATICAL DISRESPECT,2023-05-05,61,True,182992,1587969,88.304,new york drill
Spin Bout U,2023-06-03,Drake,5,29,Her Loss,2022-11-04,78,True,546154,7136927,214.588,rap
Unholy,2023-06-03,Sam Smith,1,35,Gloria,2023-01-27,77,False,23044,164047,156.943,soft pop
Just Wanna Rock,2023-06-03,Lil Uzi Vert,10,32,Just Wanna Rock,2022-10-17,74,True,896856,11352588,123.89,melodic rap
Life Goes On,2023-06-03,Ed Sheeran,66,2,Live in Saarbrücken,2010-08-06,22,False,55446,262627,196.662,soft pop
Ch y La Pizza,2023-06-03,Fuerza Regida X Natanael Cano,68,9,Adicto,2020-04-10,49,True,120,618,172.281,reggaeton
You,2023-06-03,Dan + Shay,87,1,Good Things,2021-08-13,59,False,23881,116142,196.253,country
Igualito A Mi Apa,2023-06-03,Fuerza Regida,80,6,Pa Que Hablen,2022-12-30,76,True,5,14,166.821,corrido
Wreckage,2023-06-03,Nate Smith,69,3,NATE SMITH (DELUXE),2023-04-28,58,False,13452,82594,212.746,country
Rich Flex,2023-05-27,Drake,2,28,Her Loss,2022-11-04,78,True,830075,10419102,239.359,rap
Handle On You,2023-05-27,Parker McCollum,30,20,Never Enough,2023-05-12,74,False,41509,369947,219.967,texas country
Acrostico,2023-05-27,Shakira,84,1,Acróstico (Milan + Sasha),2023-05-11,69,False,13,41,170.785,latin pop
Everything She Ain't,2023-05-27,Hailey Whitters,94,1,Raised,2022-03-18,68,False,151,616,151.973,country
Sunrise,2023-05-27,Morgan Wallen,30,11,One Thing At A Time,2023-03-03,44,False,47666,533864,182.522,country
Happy,2023-05-27,NF,54,6,HOPE,2023-04-07,75,False,123378,1792824,242.691,christian hip hop
Bebe Dame,2023-05-20,Fuerza Regida X Grupo Frontera,25,20,Sigan Hablando,2022-12-28,77,False,244,1015,271.861,reggaeton
Mejor Que Yo,2023-05-20,Anuel AA,83,1,Mejor Que Yo,2023-05-04,63,True,18895,135882,242.696,reggaeton
Curtains,2023-05-20,Ed Sheeran,97,1,- (Deluxe),2023-05-05,64,False,86184,392209,224.803,soft pop
Gold,2023-05-13,Dierks Bentley,68,9,Gold,2022-07-29,54,False,21360,134251,167.76,country
Bloody Mary,2023-05-13,Lady Gaga,41,18,Born This Way (International Special Edition Version),2011-05-23,80,False,960335,12350128,244.76,art pop
5 Leaf Clover,2023-05-13,Luke Combs,33,7,Gettin' Old,2023-03-24,68,False,38712,320812,211.053,country
Haegeum,2023-05-06,Agust D,58,1,D-DAY,2023-04-21,88,False,304570,130530717,168.926,k-pop
You Didn't,2023-05-06,Brett Young,63,12,Brett Young,2017-02-10,77,False,549,3248,224.853,country
Like Crazy,2023-05-06,Jimin,1,5,FACE,2023-03-24,78,False,373429,189076270,212.241,k-pop
Heart Like A Truck,2023-04-29,Lainey Wilson,29,23,Bell Bottom Country,2022-11-28,79,False,65009,481553,199.04,country
'98 Braves,2023-04-29,Morgan Wallen,27,7,One Thing At A Time,2023-03-03,45,False,90,1042,178.704,country
Careful,2023-04-22,NF,85,1,HOPE,2023-04-07,67,False,83766,895181,209.5,christian hip hop
I Know,2023-04-22,Kanii,90,2,I Know (PR1SVX Edit),2023-03-24,70,True,150039,1190481,133.829,jersey club
What He Didn't Do,2023-04-22,Carly Pearce,37,17,29: Written In Stone,2021-09-17,70,False,34886,289020,191.226,country
Shirt,2023-04-15,SZA,11,23,SOS,2022-12-09,74,True,934461,13736139,181.84,r&b
Growin' Up And Gettin' Old,2023-04-15,Luke Combs,54,5,Gettin' Old,2023-03-24,67,False,32804,245260,233.666,country
Nobody Gets Me,2023-04-15,SZA,10,17,SOS,2022-12-09,86,True,944293,15371135,180.853,r&b
Watch This (ARIZONATEARS Pluggnb Remix),2023-04-08,Lil Uzi Vert,56,6,Watch This (ARIZONATEARS Pluggnb Remix),2023-02-05,76,True,1418,6026,163.139,melodic rap
The Light,2023-04-08,Juice WRLD,86,1,The Light,2023-03-23,66,False,113122,1639474,172.218,melodic rap
Dying Man,2023-04-08,Morgan Wallen,43,4,One Thing At A Time,2023-03-03,36,False,38592,311430,183.466,country
Low,2023-04-08,SZA,17,16,SOS,2022-12-09,79,True,996116,16401785,181.08,r&b
Coco Chanel,2023-04-08,Eladio Carrion,87,2,3MEN2 KBRN,2023-03-17,78,True,162396,2089775,208.125,trap latino
Whiskey Friends,2023-04-08,Morgan Wallen,35,4,One Thing At A Time,2023-03-03,40,False,33781,368704,205.579,country
Devil Don't Know,2023-04-01,Morgan Wallen,29,3,One Thing At A Time,2023-03-03,36,False,136,1381,205.182,country
Neon Star (Country Boy Lullaby),2023-04-01,Morgan Wallen,48,3,One Thing At A Time,2023-03-03,38,False,29469,290613,171.495,country
Born With A Beer In My Hand,2023-04-01,Morgan Wallen,32,3,One Thing At A Time,2023-03-03,37,False,40090,326953,188.523,country
Me + All Your Reasons,2023-04-01,Morgan Wallen,51,3,One Thing At A Time,2023-03-03,20,False,27562,296257,174.741,country
Tennessee Numbers,2023-03-25,Morgan Wallen,38,2,One Thing At A Time,2023-03-03,39,False,31137,313888,225.127,country
Tennessee Fan,2023-03-25,Morgan Wallen,49,7,One Thing At A Time,2023-03-03,40,False,37447,489921,198.255,country
Hope That's True,2023-03-25,Morgan Wallen,41,2,One Thing At A Time,2023-03-03,36,True,135,1228,186.465,country
Keith Whitley,2023-03-25,Morgan Wallen,44,2,One Thing At A Time,2023-03-03,35,False,26107,250969,187.518,country
I Deserve A Drink,2023-03-25,Morgan Wallen,52,2,One Thing At A Time,2023-03-03,41,False,33323,374421,206.137,country
Single Than She Was,2023-03-25,Morgan Wallen,56,2,One Thing At A Time,2023-03-03,39,False,28084,299973,160.347,country
X Si Volvemos,2023-03-25,Karol G x Romeo Santos,48,6,MAÑANA SERÁ BONITO,2023-02-24,82,True,33,139,200.12,reggaeton
180 (Lifestyle),2023-03-25,Morgan Wallen,63,2,One Thing At A Time,2023-03-03,39,False,28395,304152,189.157,country
F150-50,2023-03-25,Morgan Wallen,53,2,One Thing At A Time,2023-03-03,39,False,27826,295420,191.634,country
Wine Into Water,2023-03-25,Morgan Wallen,59,2,One Thing At A Time,2023-03-03,20,False,24291,230407,223.968,country
On The Street,2023-03-18,j-hope,60,1,on the street (with J. Cole),2023-03-03,68,True,1358,165586,214.701,k-pop
Days That End In Why,2023-03-18,Morgan Wallen,57,2,One Thing At A Time,2023-03-03,20,False,32055,348106,162.475,country
Last Drive Down Main,2023-03-18,Morgan Wallen,65,1,One Thing At A Time,2023-03-03,37,False,24064,281247,193.163,country
Good Girl Gone Missin',2023-03-18,Morgan Wallen,69,1,One Thing At A Time,2023-03-03,37,False,111,889,175.031,country
Me To Me,2023-03-18,Morgan Wallen,71,1,One Thing At A Time,2023-03-03,43,False,31877,400541,138.958,country
Money On Me,2023-03-18,Morgan Wallen,72,1,One Thing At A Time,2023-03-03,35,False,22285,208004,175.158,country
Had It,2023-03-18,Morgan Wallen,75,1,One Thing At A Time,2023-03-03,35,False,20373,184161,199.108,country
Outlook,2023-03-18,Morgan Wallen,76,1,One Thing At A Time,2023-03-03,19,False,22262,220612,193.712,country
Don't Think Jesus,2023-03-18,Morgan Wallen,7,6,One Thing At A Time,2023-03-03,40,False,38497,439923,225.665,country
The Kind Of Love We Make,2023-03-11,Luke Combs,8,32,Growin' Up,2022-06-24,79,False,149306,1544598,224.426,country
Wait For U,2023-03-11,Future,1,41,Rhyme Of The Year,2013-09-24,14,False,2664,17064,411.189,rap
She Had Me At Heads Carolina,2023-03-11,Cole Swindell,16,36,Stereotype,2022-04-08,78,False,72212,691347,206.106,country
Mientras Me Curo del Cora,2023-03-11,Karol G,68,1,MAÑANA SERÁ BONITO,2023-02-24,81,False,120979,1011440,164.386,reggaeton
Gucci Los Panos,2023-03-11,Karol G,71,1,MAÑANA SERÁ BONITO,2023-02-24,72,True,4,37,186.453,reggaeton
Tus Gafitas,2023-03-11,Karol G,73,1,MAÑANA SERÁ BONITO,2023-02-24,71,False,65091,709137,167.786,reggaeton
Gatubela,2023-03-11,Karol G x Maldy,37,11,MAÑANA SERÁ BONITO,2023-02-24,72,False,1,5,208.013,reggaeton
No More Talk,2023-03-11,Yeat,77,1,AftërLyfe,2023-02-24,63,True,24,243,238.506,rage rap
Split,2023-03-11,Yeat,79,1,AftërLyfe,2023-02-24,62,True,197950,2770698,143.466,rage rap
Cairo,2023-03-11,Karol G,82,1,MAÑANA SERÁ BONITO,2023-02-24,74,True,123794,1288056,198.666,reggaeton
That's What Tequila Does,2023-03-11,Jason Aldean,77,8,MACON,2021-11-12,56,False,10589,49061,189.306,country
Pero Tu,2023-03-11,Karol G,86,1,MAÑANA SERÁ BONITO,2023-02-24,79,True,1,33,183.48,reggaeton
Ojos Ferrari,2023-03-11,Karol G,95,1,MAÑANA SERÁ BONITO,2023-02-24,68,True,62457,596866,180.04,reggaeton
Besties,2023-03-11,Karol G,96,1,MAÑANA SERÁ BONITO,2023-02-24,71,True,57229,550396,162.146,reggaeton
Manana Sera Bonito,2023-03-11,Karol G,98,1,MAÑANA SERÁ BONITO,2023-02-24,73,False,2,6,210.986,reggaeton
What My World Spins Around,2023-03-04,Jordan Davis,40,28,Bluebird Days,2023-02-17,76,False,63674,561575,186.8,country
Lost,2023-03-04,Linkin Park,38,2,LIVING THINGS,2012-06-19,75,False,326012,4059493,205.12,nu metal
No Se Va,2023-03-04,Grupo Frontera,57,20,No Se Va (EN VIVO),2022-04-28,68,False,5437,27016,194.019,cumbia norteña
Love You Better,2023-03-04,Future,12,15,I NEVER LIKED YOU,2022-04-29,69,True,250976,2319513,129.479,rap
OMG,2023-03-04,NewJeans,74,6,NewJeans 'OMG',2023-01-02,81,False,801709,24774373,212.253,k-pop
Blind,2023-03-04,SZA,12,11,SOS,2022-12-09,75,True,807237,11136347,150.72,r&b
La Jumpa,2023-03-04,Arcangel,68,10,La Jumpa,2022-11-30,75,True,32218,145752,255.693,reggaeton
Fix'n To Break,2023-02-25,Bailey Zimmerman,84,1,Religiously. The Album.,2023-01-11,60,False,16062,112218,232.894,country
Love Language,2023-02-25,SZA,21,10,SOS,2022-12-09,71,True,668738,7129382,183.893,r&b
Gato de Noche,2023-02-25,Nengo Flow,60,8,Gato de Noche,2022-12-22,71,True,58,130,227.013,reggaeton
La Bachata,2023-02-18,Manuel Turizo,67,21,La Bachata,2022-05-26,81,False,325065,3838650,162.637,reggaeton
Ditto,2023-02-18,NewJeans,82,5,Ditto,2022-12-19,81,False,797003,28695925,185.506,k-pop
Fin de Semana,2023-02-18,Junior H X Oscar Maydon,86,2,Fin de Semana,2023-01-13,83,False,2,2,224.92,corridos tumbados
I'm Not Here To Make Friends,2023-02-18,Sam Smith,71,2,Gloria,2023-01-27,67,False,161801,1064796,229.604,soft pop
Heart To Heart,2023-02-18,Mac DeMarco,83,4,Here Comes The Cowboy,2019-05-10,85,False,1149761,17750582,211.14,indie
Open Arms,2023-02-18,SZA,54,7,Por Vos,2022-02-13,4,False,4893,40724,248.47,r&b
I Ain't Worried,2023-02-11,OneRepublic,6,30,"I Ain’t Worried (Music From The Motion Picture ""Top Gun: Maverick"")",2022-05-13,86,False,793425,8143818,148.485,soft pop
Circo Loco,2023-02-11,Drake,8,13,Her Loss,2022-11-04,72,True,355187,3740650,236.795,rap
Knight Crawler,2023-02-11,Trippie Redd,52,2,MANSION MUSIK,2023-01-20,64,True,84267,769691,177.23,melodic rap
Half Of Me,2023-02-04,Thomas Rhett,52,20,Country Again (Side A / Big Machine Radio Release Special),2021-04-30,5,False,29784,188966,94.316,country
Moonlight Sunrise,2023-02-04,TWICE,84,1,MOONLIGHT SUNRISE,2023-01-20,63,False,398072,10028906,180.32,k-pop
Fully Loaded,2023-02-04,Trippie Redd,86,1,MANSION MUSIK,2023-01-20,49,True,20686,97966,175.999,melodic rap
Seek & Destroy,2023-02-04,SZA,24,7,SOS,2022-12-09,69,True,684175,8312929,203.733,r&b
Krzy Train,2023-02-04,Trippie Redd,90,1,MANSION MUSIK,2023-01-20,52,True,32460,177806,230.136,melodic rap
Pick Me Up,2023-01-28,Gabby Barrett,55,22,Goldmine (Deluxe),2021-11-19,61,False,22705,130978,169.44,country
Monotonia,2023-01-28,Shakira + Ozuna,65,3,Monotonía,2022-10-19,72,False,2,4,158.804,reggaeton
Down Home,2023-01-28,Jimmie Allen,61,9,Tulip Drive,2022-06-24,52,False,12563,68847,202.506,country
Out In The Middle,2023-01-28,Zac Brown Band,86,6,The Comeback (Deluxe),2022-09-30,51,False,20985,107272,166.3,country
Used,2023-01-28,SZA,30,6,Give Thanks,2019-11-28,19,True,4187,34244,146.647,r&b
Special,2023-01-28,SZA,37,6,SOS,2022-12-09,72,True,549143,6139923,158.84,r&b
King Snipe,2023-01-28,Gucci Mane,100,1,King Snipe,2023-01-13,55,True,53024,236068,214.593,southern hip hop
Son Of A Sinner,2023-01-21,Jelly Roll,31,28,Ballads of the Broken,2021-09-17,79,False,59581,433492,232.093,country hip hop
Fall In Love,2023-01-21,Bailey Zimmerman,29,34,Religiously. The Album.,2023-01-11,82,False,81401,930927,232.058,country
On BS,2023-01-21,Drake,4,8,Her Loss,2022-11-04,73,True,447400,4671214,261.543,rap
Gone Girl,2023-01-21,SZA,43,5,SOS,2022-12-09,66,True,533101,5368722,244.026,r&b
SOS,2023-01-21,SZA,32,5,SOS,2022-12-08,86,False,672812,5937001,153.946,r&b
Wasted On You,2023-01-14,Morgan Wallen,9,57,Dangerous: The Double Album,2021-01-08,55,False,187662,2379870,178.52,country
Major Distribution,2023-01-14,Drake,3,7,Her Loss,2022-11-04,69,True,418500,4212784,170.501,rap
Notice Me,2023-01-14,SZA,44,3,SOS,2022-12-09,64,True,542322,4854036,160.92,r&b
(There's No Place Like) Home For The Holidays (1959),2023-01-07,Perry Como,22,13,Pure Gold,1975-09-30,61,False,4,4,162.106,christmas
Kid On Christmas,2023-01-07,Pentatonix,93,2,Breakin' Combs,2017-12-04,24,True,817,1574,263.813,christmas
Linus And Lucy (Peanuts Theme),2022-12-31,Vince Guaraldi Trio,37,2,Jazz for Peanuts - A Retrospective of the Charlie Brown Television Themes,2008-01-01,16,False,24,97,184.613,christmas
Smoking On My Ex Pack,2022-12-31,SZA,52,2,SOS,2022-12-09,64,True,534561,4977532,83.826,r&b
F2F,2022-12-31,SZA,55,2,SOS,2022-12-09,74,True,564122,7186009,185.04,r&b
Face 2 Face,2022-12-31,Juice WRLD,92,1,Face 2 Face,2022-12-15,64,False,131982,1926582,124.558,melodic rap
Conceited,2022-12-31,SZA,58,2,SOS,2022-12-09,65,True,478598,4336057,151.413,r&b
Far,2022-12-31,SZA,61,2,SOS,2022-12-09,67,True,465510,4629331,180.68,r&b
All Mine,2022-12-31,Brent Faiyaz,42,20,WASTELAND,2022-07-08,80,True,613673,9401267,216.062,r&b
Too Late,2022-12-24,SZA,62,1,SOS,2022-12-09,61,False,454841,3938919,164.426,r&b
Country On,2022-12-24,Luke Bryan,72,17,Country On,2022-07-01,56,False,15187,89685,236.455,country
Water (Drowning Pt. 2),2022-12-24,A Boogie Wit da Hoodie,97,1,Magia,2022-07-08,43,False,197,1842,208.659,melodic rap
Free Mind,2022-12-17,Tems,46,21,For Broken Ears,2020-09-25,77,False,163904,1495095,247.578,afrobeats
Wild Flower,2022-12-17,RM,83,1,Indigo,2022-12-02,76,False,1507,23005,273.499,k-pop
Don't Come Lookin',2022-12-17,Jackson Dean,50,15,Greenbroke,2022-03-11,63,False,15163,87454,187.957,country
Titi Me Pregunto,2022-12-10,Bad Bunny,5,30,Un Verano Sin Ti,2022-05-06,87,True,229,3813,243.716,reggaeton
Privileged Rappers,2022-12-10,Drake,7,4,Her Loss,2022-11-04,71,True,397974,4180844,160.821,rap
Broke Boys,2022-12-10,Drake,12,4,Her Loss,2022-11-04,68,True,302577,3426252,225.439,rap
BackOutsideBoyz,2022-12-10,Drake,9,4,Her Loss,2022-11-04,66,True,338423,2831394,152.961,rap
Hours In Silence,2022-12-10,Drake,11,4,Her Loss,2022-11-04,76,True,337573,3630015,399.153,rap
Jumbotron Shit Poppin,2022-12-10,Drake,16,4,Her Loss,2022-11-04,68,True,290784,3155716,137.151,rap
Treacherous Twins,2022-12-03,Drake,14,3,Her Loss,2022-11-04,64,True,253960,1731408,180.098,rap
Middle Of The Ocean,2022-12-03,Drake,15,3,Her Loss,2022-11-04,65,True,251046,2109408,356.389,rap
More M’s,2022-12-03,Drake,18,3,Her Loss,2022-11-04,65,True,264088,2283065,221.406,rap
I Guess It's Fuck Me,2022-11-26,Drake,19,2,Her Loss,2022-11-04,67,True,109,1220,263.987,rap
Gotta Move On,2022-11-26,Diddy,79,7,Gotta Move On (feat. Bryson Tiller),2022-06-17,54,False,8505,37523,160.776,hip hop
5 Foot 9,2022-11-19,Tyler Hubbard,22,22,5 Foot 9,2022-05-20,71,False,56743,499869,189.78,country
In My Head,2022-11-19,Juice WRLD,23,2,In My Head,2022-10-28,69,True,182723,3043499,192.0,melodic rap
Me Porto Bonito,2022-11-12,Bad Bunny,6,26,Un Verano Sin Ti,2022-05-06,85,True,568165,8020758,178.567,reggaeton
The Astronaut,2022-11-12,JIN,51,1,The Astronaut,2022-10-28,73,False,265323,91728196,282.463,k-pop
Ain't Safe,2022-11-12,Trippie Redd,92,1,Ain't Safe (feat. Don Toliver),2022-10-28,53,True,317,1246,166.514,melodic rap
Evergreen,2022-11-12,Omar Apollo,51,7,Ivory,2022-04-08,77,False,40037,290005,216.68,bedroom pop
She Likes It,2022-11-05,Russell Dickerson,63,30,She Likes It (feat. Jake Scott),2021-11-05,61,False,184,377,163.311,country
Despecha,2022-11-05,Rosalia,63,12,DESPECHÁ,2022-07-28,76,True,114,924,157.017,latin
Bye Bye,2022-10-29,Marshmello,53,1,Bye Bye,2022-10-14,68,True,165860,1876916,108.498,edm
Left And Right,2022-10-29,Charlie Puth,22,17,101 Hits of the 80s & 90s,2013-04-15,3,False,16128,792081,386.065,soft pop
Numb,2022-10-29,Marshmello,40,16,Numb,2022-06-10,77,False,216934,1418948,155.588,edm
Soul,2022-10-29,Lee Brice,83,6,Hey World,2020-11-20,64,False,24313,161907,167.68,country
Moscow Mule,2022-10-22,Bad Bunny,4,23,Un Verano Sin Ti,2022-05-06,87,True,447115,6895041,245.939,reggaeton
Running Up That Hill (A Deal With God),2022-10-22,Kate Bush,3,40,Hounds Of Love,1985-09-16,84,False,1600584,16208884,298.933,art pop
Last Night Lonely,2022-10-22,Jon Pardi,27,20,Mr. Saturday Night,2022-09-02,72,False,48285,391042,182.161,country
Neverita,2022-10-22,Bad Bunny,31,14,Un Verano Sin Ti,2022-05-06,82,False,347238,4878068,173.119,reggaeton
Truth About You,2022-10-22,Mitchell Tenpenny,54,13,Truth About You,2021-07-09,58,False,23996,200957,203.036,country
Toxic,2022-10-22,YG,81,2,Toxic,2022-08-12,56,True,29821,171249,213.288,hyphy
Efecto,2022-10-15,Bad Bunny,34,22,Un Verano Sin Ti,2022-05-06,84,True,373029,5455717,213.061,reggaeton
Ghost Story,2022-10-15,Carrie Underwood,61,20,Ghost Story,2022-03-18,48,False,18632,153370,181.4,country
Shut Down,2022-10-15,BLACKPINK,25,3,BORN PINK,2022-09-15,73,False,581597,18538862,175.889,k-pop
Like I Love Country Music,2022-10-15,Kane Brown,26,20,Like I Love Country Music,2022-05-06,66,False,26774,178202,234.34,country
Talk,2022-10-15,Yeat,42,5,Lyfë,2022-09-09,71,True,435885,7306562,174.857,rage rap
Pink Venom,2022-10-08,BLACKPINK,22,6,BORN PINK,2022-09-15,74,False,617587,22495799,186.964,k-pop
Mary On A Cross,2022-10-08,Ghost,90,2,Seven Inches of Satanic Panic,2019-09-13,82,False,773558,11877831,244.804,metal
Party,2022-10-01,Bad Bunny,14,20,Un Verano Sin Ti,2022-05-06,80,True,285419,3752491,227.628,reggaeton
Ojitos Lindos,2022-10-01,Bad Bunny,26,20,Un Verano Sin Ti,2022-05-06,87,False,406245,6070153,258.298,reggaeton
Despues de La Playa,2022-10-01,Bad Bunny,6,20,Un Verano Sin Ti,2022-05-06,79,False,127,401,230.4,reggaeton
Tarot,2022-10-01,Bad Bunny,18,20,Un Verano Sin Ti,2022-05-06,82,True,288503,4249947,237.894,reggaeton
Hell Yeah,2022-10-01,Little Big Town,91,1,Mr. Sun,2022-09-16,43,False,8556,38474,175.84,country
Beat The Odds,2022-10-01,Lil Tjay,36,4,Beat the Odds,2022-08-26,65,True,112264,1335408,150.0,brooklyn drill
Never Sleep,2022-09-24,NAV,50,3,Never Sleep,2022-07-29,62,True,1422,4618,185.785,melodic rap
Shivers,2022-09-17,Ed Sheeran,4,52,=,2021-10-25,86,False,579105,5864499,207.853,soft pop
Puffin On Zootiez,2022-09-17,Future,4,19,I NEVER LIKED YOU,2022-04-29,78,True,594346,9850567,172.933,rap
La Corriente,2022-09-10,Bad Bunny,32,14,Un Verano Sin Ti,2022-05-06,79,True,233611,2833624,198.367,reggaeton
At The End Of A Bar,2022-09-03,Chris Young,75,6,At the End of a Bar (Acoustic),2022-03-18,33,False,12058,77160,182.327,country
Un Ratito,2022-09-03,Bad Bunny,16,16,Un Verano Sin Ti,2022-05-06,79,True,246581,2824856,176.936,reggaeton
Take My Name,2022-08-27,Parmalee,22,20,For You,2021-07-30,66,False,29352,202510,157.906,country
Damn Strait,2022-08-27,Scotty McCreery,32,20,Same Truck,2021-09-17,65,False,19217,133437,230.226,country
New Truck,2022-08-20,Dylan Scott,61,9,Livin' My Best Life,2022-08-05,60,False,19708,138771,174.36,country
Big 14,2022-08-20,Trippie Redd,96,1,Big 14 (feat. Moneybagg Yo),2022-08-05,52,True,292,2487,247.458,melodic rap
Love Me More,2022-08-20,Sam Smith,73,10,Love Me More,2022-04-28,61,False,125259,659110,190.658,soft pop
Trouble With A Heartbreak,2022-08-13,Jason Aldean,32,20,GEORGIA,2022-04-22,62,False,17076,113643,196.026,country
2step,2022-08-13,Ed Sheeran,48,15,World Wide Cypher,2020-08-08,15,True,123981,929303,668.813,soft pop
Best Thing Since Backroads,2022-08-13,Jake Owen,72,4,Best Thing Since Backroads,2021-08-06,55,False,14544,79727,187.432,country
Progress,2022-08-06,John Rich,65,1,Vaughan Williams: The Pilgrim's Progress,1998-04-01,6,False,1025,3956,223.733,christian country
Silent Hill,2022-08-06,Kendrick Lamar,7,11,Mr. Morale & The Big Steppers,2022-05-13,71,True,622578,6392350,220.779,hip hop
Te Felicito,2022-08-06,Shakira,67,8,Te Felicito,2022-04-21,74,False,206486,1987211,172.235,latin pop
Bad Habits,2022-07-30,Ed Sheeran,2,56,=,2021-10-25,85,False,641825,6635463,230.746,soft pop
Master Of Puppets,2022-07-30,Metallica,35,3,Master Of Puppets (Remastered),1986-03-03,82,False,1406617,13738443,515.386,metal
Flower Shops,2022-07-30,ERNEST,64,26,La Combinacion Vallenata Vol. 4,2000-03-28,48,False,330,856,257.0,country
7500 OBO,2022-07-30,Tim McGraw,66,8,Here On Earth,2020-08-21,59,False,15639,119949,221.4,country
Arson,2022-07-30,j-hope,96,1,Jack In The Box,2022-07-15,71,True,290169,39173264,159.761,k-pop
Loose Change,2022-07-23,Brent Faiyaz,52,1,WASTELAND,2022-07-08,65,True,235436,2493810,226.011,r&b
Price Of Fame,2022-07-23,Brent Faiyaz,67,1,WASTELAND,2022-07-08,61,True,189288,1850606,379.004,r&b
Hold My Hand,2022-07-23,Lady Gaga,49,10,"Hold My Hand (Music From The Motion Picture ""Top Gun: Maverick"")",2022-05-03,74,False,241676,2450012,225.3,art pop
Rolling Stone,2022-07-23,Brent Faiyaz,84,1,WASTELAND,2022-07-08,74,True,341027,4044355,162.006,r&b
Circles Around This Town,2022-07-23,Maren Morris,52,25,Circles Around This Town,2022-01-07,48,False,35110,209225,195.76,country
Heal Your Heart (Interlude),2022-07-23,Brent Faiyaz,93,1,WASTELAND,2022-07-08,60,True,201982,1554339,75.043,r&b
FYTB,2022-07-23,Brent Faiyaz,97,1,SEXY,2020-12-10,54,True,468,5045,150.773,r&b
Wasting Time,2022-07-23,Brent Faiyaz,49,3,We'll be fine,2022-05-19,2,False,869,6318,205.003,r&b
More,2022-07-16,j-hope,82,1,Jack In The Box,2022-07-15,71,False,297674,80956486,180.022,k-pop
Desesperados,2022-07-16,Rauw Alejandro,91,8,Desesperados,2021-12-11,72,True,242414,2485835,224.996,reggaeton
Rich Minion,2022-07-16,Yeat,99,1,Rich Minion,2022-06-29,52,False,188801,1638265,165.517,rage rap
MAMIII,2022-07-09,Becky G X Karol G,15,20,Desemoña,2021-08-12,38,True,72,357,202.479,reggaeton
Tomorrow Me,2022-07-09,Luke Combs,61,4,Growin' Up,2022-06-24,56,False,21065,151313,208.733,country
From The D 2 The LBC,2022-07-09,Eminem,72,1,From The D 2 The LBC (with Snoop Dogg),2022-06-24,62,True,2790,131695,215.12,rap
Psychic,2022-07-09,Chris Brown,78,1,Cock Cakes,2012-06-01,4,True,48770,347758,147.051,r&b
WE (Warm Embrace),2022-07-09,Chris Brown,79,1,Breezy,2022-06-24,51,False,26439,244322,234.946,r&b
Did Shit To Me,2022-07-09,Lil Durk,95,1,7220 (Deluxe),2022-06-24,47,True,71,259,156.0,chicago drill
Possessive,2022-07-09,Chris Brown,98,1,Foundation Come Again,2013-07-16,8,False,175,473,206.68,r&b
Die Young,2022-07-09,Sleepy Hallow,60,5,Target Practice,2020-06-07,22,True,344,1920,325.529,brooklyn drill
AA,2022-07-02,Walker Hayes,28,24,Country Stuff The Album,2022-01-21,61,False,21857,160761,189.56,country
Yet To Come,2022-07-02,BTS,13,2,Proof,2022-06-10,72,False,304406,55036321,193.593,k-pop
N95,2022-07-02,Kendrick Lamar,3,6,Mr. Morale & The Big Steppers,2022-05-13,78,True,1105236,17184299,195.95,hip hop
'Til You Can't,2022-06-25,Cody Johnson,18,36,Human The Double Album,2021-10-08,79,False,70027,648571,224.213,texas country
If I Was A Cowboy,2022-06-25,Miranda Lambert,53,20,If I Was a Cowboy,2021-10-15,60,False,35186,234233,195.013,country
Run BTS,2022-06-25,BTS,73,1,Proof,2022-06-10,79,False,451619,35531007,204.939,k-pop
Die Hard,2022-06-25,Kendrick Lamar,5,5,Mr. Morale & The Big Steppers,2022-05-13,80,True,896621,12973361,239.026,hip hop
True Love,2022-06-25,Kanye West,22,3,True Love,2022-05-27,77,False,556775,6027492,148.571,rap
DFMU,2022-06-25,Ella Mai,85,4,Heart On My Sleeve,2022-05-06,64,True,65277,448150,197.52,r&b
Yo No Soy Celoso,2022-06-25,Bad Bunny,22,6,Un Verano Sin Ti,2022-05-06,79,True,254642,2864643,230.704,reggaeton
Slow Down Summer,2022-06-25,Thomas Rhett,43,17,Where We Started,2022-04-01,56,False,22865,158366,217.96,country
Potion,2022-06-25,Calvin Harris,71,3,Potion (with Dua Lipa & Young Thug),2022-05-27,67,True,6588,34099,214.459,edm
Never Say Never,2022-06-11,Cole Swindell,27,20,Stereotype,2022-04-08,67,False,2032,11383,176.146,country
